              [,1]         [,2]         [,3]         [,4]         [,5]         [,6]         [,7]         [,8]         [,9]        [,10]        [,11]        [,12]        [,13]        [,14]        [,15]        [,16]        [,17]        [,18]        [,19]        [,20]
 [1,] 5.421011e-20 5.421011e-20 4.743385e-20 2.710505e-20 2.032879e-20 0.000000e+00 0.000000e+00 0.000000e+00 3.571442e-09 1.219616e-08 3.524536e-08 1.011158e-07 2.273472e-07 4.796232e-07 1.011827e-06 2.012240e-06 3.566323e-06 6.037962e-06 9.768426e-06 1.515928e-05
 [2,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.404349e-09 2.313484e-08 6.717952e-08 1.889073e-07 4.220158e-07 8.839962e-07 1.811663e-06 3.510219e-06 6.152924e-06 1.030283e-05 1.648623e-05 2.531629e-05
 [3,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.107257e-08 4.018730e-08 1.158307e-07 3.218565e-07 7.167803e-07 1.501135e-06 3.025705e-06 5.769744e-06 1.005130e-05 1.672444e-05 2.658870e-05 4.057207e-05
 [4,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.845718e-08 6.731795e-08 1.927000e-07 5.300502e-07 1.178412e-06 2.465605e-06 4.909397e-06 9.244533e-06 1.602376e-05 2.652522e-05 4.194474e-05 6.366529e-05
 [5,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.966382e-08 1.087417e-07 3.093178e-07 8.413623e-07 1.866605e-06 3.901466e-06 7.692491e-06 1.433922e-05 2.474896e-05 4.079331e-05 6.421859e-05 9.704109e-05
 [6,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.596577e-08 1.693901e-07 4.790574e-07 1.289168e-06 2.851849e-06 5.953248e-06 1.164767e-05 2.153557e-05 3.703552e-05 6.082382e-05 9.539242e-05 1.436129e-04
 [7,] 2.168404e-19 2.168404e-19 3.252607e-19 5.421011e-20 0.000000e+00 5.421011e-20 0.000000e+00 0.000000e+00 6.867350e-08 2.544547e-07 7.158533e-07 1.906761e-06 4.206846e-06 8.771658e-06 1.705924e-05 3.133546e-05 5.372654e-05 8.797407e-05 1.375477e-04 2.064434e-04
 [8,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.892175e-08 3.686095e-07 1.032070e-06 2.722345e-06 5.991708e-06 1.247866e-05 2.415384e-05 4.413489e-05 7.547982e-05 1.232864e-04 1.922642e-04 2.878284e-04
 [9,] 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.373863e-07 5.149437e-07 1.435613e-06 3.751882e-06 8.239809e-06 1.714029e-05 3.305128e-05 6.013173e-05 1.026119e-04 1.672493e-04 2.602567e-04 3.887698e-04
[10,] 2.168404e-19 0.000000e+00 2.168404e-19 0.000000e+00 0.000000e+00 1.084202e-19 0.000000e+00 0.000000e+00 1.854138e-07 6.972174e-07 1.933679e-06 5.004643e-06 1.096508e-05 2.277381e-05 4.377033e-05 7.933009e-05 1.350898e-04 2.197553e-04 3.412832e-04 5.088052e-04
